2024-08-05 09:13:27,004 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
2024-08-05 09:13:27,019 [Test worker] INFO  org.springframework.test.context.support.AbstractContextLoader(generateDefaultLocations:264) - Could not detect default resource locations for test class [kr.co.daou.api.ApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-05 09:13:27,019 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(detectDefaultConfigurationClasses:83) - Could not detect default configuration classes for test class [kr.co.daou.api.ApiApplicationTests]: ApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-05 09:13:27,066 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getOrFindConfigurationClasses:238) - Found @SpringBootConfiguration kr.co.daou.api.ApiApplication for test class kr.co.daou.api.ApiApplicationTests
2024-08-05 09:13:27,129 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getDefaultTestExecutionListenerClassNames:245) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-08-05 09:13:27,129 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getTestExecutionListeners:174) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@244cf585, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2c120473, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@16471b82, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@dec20f2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4ecf0c17, org.springframework.test.context.support.DirtiesContextTestExecutionListener@72c2a821, org.springframework.test.context.event.EventPublishingTestExecutionListener@5cf736f0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@30f0762c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6696b91, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@618d48dd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4a8b2aa, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@375ae505, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7a22259c]
2024-08-05 09:13:27,344 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarting:55) - Starting ApiApplicationTests using Java 15.0.10 on daou-danae with PID 20404 (started by daou-danae in C:\Users\danae\Desktop\Homework)
2024-08-05 09:13:27,344 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStartupProfileInfo:664) - No active profile set, falling back to default profiles: default
2024-08-05 09:13:28,483 [Test worker] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:53) - Adding welcome page: class path resource [static/index.html]
2024-08-05 09:13:28,814 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarted:61) - Started ApiApplicationTests in 1.648 seconds (JVM running for 2.746)
2024-08-05 09:27:55,291 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
